"curr_orig_dest","orig","dest","curr_travel_dist","curr_travel_time","curr_travel_dist_km","curr_travel_time_h","orig_intervention","dest_intervention","num_linked_pairs_observed","number_hosts_sampled_group_1","number_hosts_sampled_group_2","origin_district","destination_district","BTOTL_2011_origin","MTOTL_2011_origin","FTOTL_2011_origin","BTOTL_2011_destination","MTOTL_2011_destination","FTOTL_2011_destination","same_community","ln_curr_travel_dist_km","origin_control_community","number_hosts_sampled_group_1_female","number_hosts_sampled_group_1_male","number_hosts_sampled_group_1_f_baseline","number_hosts_sampled_group_1_m_baseline","number_hosts_sampled_group_1_f_post_baseline","number_hosts_sampled_group_1_m_post_baseline","number_hosts_sampled_group_2_female","number_hosts_sampled_group_2_male","number_hosts_sampled_group_2_f_baseline","number_hosts_sampled_group_2_m_baseline","number_hosts_sampled_group_2_f_post_baseline","number_hosts_sampled_group_2_m_post_baseline","num_linked_pairs_observed_baseline","max_possible_opposite_sex_pairs_in_sample_baseline","ln_max_possible_opposite_sex_pairs_in_sample_baseline","num_linked_pairs_observed_post_baseline","max_possible_opposite_sex_pairs_in_sample_post_baseline","ln_max_possible_opposite_sex_pairs_in_sample_post_baseline","max_possible_opposite_sex_pairs_in_sample_all","ln_max_possible_opposite_sex_pairs_in_sample_all","max_possible_opposite_sex_pairs_in_sample_post_baseline_all_x_pb","ln_max_possible_opposite_sex_pairs_in_sample_post_baseline_all_x_pb"
"Bokaa_Digawana","Bokaa","Digawana",27789,1706,27.789,0.473888888888889,"Control","Intervention",0,73,28,"Kgatleng","Barolong",6406,3225,3181,3273,1571,1702,0,3.32464025894,1,54,19,52,19,2,0,17,11,17,11,0,0,0,895,6.79682371827486,0,0,0,917,6.82110747225646,0,0
"Bokaa_Gumare","Bokaa","Gumare",998066,37443,998.066,10.4008333333333,"Control","Intervention",0,73,260,"Kgatleng","Ngamiland West",6406,3225,3181,8913,4205,4708,0,6.90581940638935,1,54,19,52,19,2,0,192,68,110,36,82,32,0,3962,8.2845042272585,0,64,4.15888308335967,7320,8.89836560695536,3286,8.09742629859721
"Bokaa_Gweta","Bokaa","Gweta",695418,27346,695.418,7.59611111111111,"Control","Intervention",0,73,131,"Kgatleng","Central Tutume",6406,3225,3181,7148,3546,3602,0,6.54451310362186,1,54,19,52,19,2,0,98,33,92,32,6,1,0,3412,8.13505390861157,0,2,0.693147180559945,3644,8.20083725837985,168,5.12396397940326
"Bokaa_Lentsweletau","Bokaa","Lentsweletau",37340,2110,37.34,0.586111111111111,"Control","Intervention",0,73,206,"Kgatleng","Kweneng East",6406,3225,3181,7420,3815,3605,0,3.62006513811358,1,54,19,52,19,2,0,128,78,52,20,76,58,0,2028,7.61480536471107,0,116,4.75359019110636,6644,8.80146947073318,4576,8.42858053305963
"Bokaa_Lerala","Bokaa","Lerala",315682,12097,315.682,3.36027777777778,"Control","Intervention",0,73,347,"Kgatleng","Serowe Palapye",6406,3225,3181,7413,3474,3939,0,5.75473537778389,1,54,19,52,19,2,0,244,103,75,30,169,73,0,2985,8.0013550258267,0,146,4.98360662170834,10198,9.2299469016151,7153,8.87528712810838
"Bokaa_Letlhakeng","Bokaa","Letlhakeng",127365,6647,127.365,1.84638888888889,"Control","Control",0,73,92,"Kgatleng","Kweneng West",6406,3225,3181,9809,4846,4963,0,4.84705698011944,1,54,19,52,19,2,0,68,24,59,24,9,0,0,2369,7.77022320415879,0,0,0,2588,7.85864065562079,171,5.14166355650266
"Bokaa_Masunga","Bokaa","Masunga",489858,20264,489.858,5.62888888888889,"Control","Intervention",0,73,182,"Kgatleng","North East",6406,3225,3181,5615,2522,3093,0,6.19411555318735,1,54,19,52,19,2,0,131,51,110,44,21,7,0,4378,8.38434727808281,0,14,2.63905732961526,5243,8.56464913257253,777,6.65544035036765
"Bokaa_Mathangwane","Bokaa","Mathangwane",436370,17365,436.37,4.82361111111111,"Control","Intervention",0,73,102,"Kgatleng","Central Tutume",6406,3225,3181,5947,2873,3074,0,6.07849050732461,1,54,19,52,19,2,0,79,23,50,12,29,11,0,1574,7.36137542897735,0,22,3.09104245335832,2743,7.9168074909376,1145,7.04315991598834
"Bokaa_Maunatlala","Bokaa","Maunatlala",331728,13295,331.728,3.69305555555556,"Control","Intervention",0,73,236,"Kgatleng","Serowe Palapye",6406,3225,3181,4921,2509,2412,0,5.80431535601715,1,54,19,52,19,2,0,155,81,58,27,97,54,0,2506,7.82644313545601,0,108,4.68213122712422,7319,8.89822898560123,4759,8.46779284112111
"Bokaa_Metsimotlhabe","Bokaa","Metsimotlhabe",30898,2416,30.898,0.671111111111111,"Control","Control",0,73,34,"Kgatleng","Kweneng East",6406,3225,3181,9154,4329,4825,0,3.43069145688986,1,54,19,52,19,2,0,25,9,24,9,1,0,0,924,6.82871207164168,0,0,0,961,6.86797440897029,19,2.94443897916644
"Bokaa_Mmadinare","Bokaa","Mmadinare",381454,14603,381.454,4.05638888888889,"Control","Control",0,73,112,"Kgatleng","Central Bobonong",6406,3225,3181,15064,7261,7803,0,5.94399026678353,1,54,19,52,19,2,0,84,28,80,24,4,4,0,2768,7.92588031673756,0,8,2.07944154167984,3108,8.04173471148754,292,5.67675380226828
"Bokaa_Mmandunyane","Bokaa","Mmandunyane",402028,16860,402.028,4.68333333333333,"Control","Control",0,73,56,"Kgatleng","Central Tutume",6406,3225,3181,4254,2099,2155,0,5.99652173793474,1,54,19,52,19,2,0,42,14,38,14,4,0,0,1450,7.27931883541462,0,0,0,1554,7.34858753092759,76,4.33073334028633
"Bokaa_Mmankgodi","Bokaa","Mmankgodi",69255,4159,69.255,1.15527777777778,"Control","Intervention",0,73,166,"Kgatleng","Kweneng East",6406,3225,3181,7406,3493,3913,0,4.23779534462706,1,54,19,52,19,2,0,114,52,55,32,59,20,0,2709,7.9043348420851,0,40,3.68887945411394,4974,8.51197962436335,2201,7.69666708152646
"Bokaa_Mmathethe","Bokaa","Mmathethe",151475,7656,151.475,2.12666666666667,"Control","Control",0,73,135,"Kgatleng","Barolong",6406,3225,3181,6893,3412,3481,0,5.02042059483105,1,54,19,52,19,2,0,99,36,63,28,36,8,0,2653,7.88344635413774,0,16,2.77258872223978,3825,8.24931374626064,1116,7.01750614294126
"Bokaa_Molapowabojang","Bokaa","Molapowabojang",118305,6294,118.305,1.74833333333333,"Control","Control",0,73,60,"Kgatleng","Southern",6406,3225,3181,9402,4503,4899,0,4.77326603551806,1,54,19,52,19,2,0,45,15,40,14,5,1,0,1488,7.30518821539304,0,2,0.693147180559945,1665,7.41758040241454,149,5.00394630594546
"Bokaa_Nata","Bokaa","Nata",595293,23678,595.293,6.57722222222222,"Control","Control",0,73,59,"Kgatleng","Central Tutume",6406,3225,3181,7694,3770,3924,0,6.38905372131312,1,54,19,52,19,2,0,48,11,39,9,9,2,0,1209,7.09754885061479,0,4,1.38629436111989,1506,7.31721240835984,279,5.63121178182137
"Bokaa_Nkange","Bokaa","Nkange",36415,2253,36.415,0.625833333333333,"Control","Intervention",0,73,107,"Kgatleng","Central Tutume",6406,3225,3181,3660,1599,2061,0,3.59498077766988,1,54,19,52,19,2,0,80,27,76,25,4,2,0,2744,7.91717198884578,0,4,1.38629436111989,2978,7.99900721324395,184,5.21493575760899
"Bokaa_Oodi","Bokaa","Oodi",34522,2088,34.522,0.58,"Control","Intervention",0,73,73,"Kgatleng","Kgatleng",6406,3225,3181,5822,2798,3024,0,3.5415968019645,1,54,19,52,19,2,0,51,22,47,21,4,1,0,1985,7.59337419312129,0,2,0.693147180559945,2157,7.67647364638916,130,4.86753445045558
"Bokaa_Otse","Bokaa","Otse",80553,4182,80.553,1.16166666666667,"Control","Intervention",0,73,99,"Kgatleng","South East",6406,3225,3181,8039,3903,4136,0,4.3889153528773,1,54,19,52,19,2,0,67,32,64,31,3,1,0,2828,7.94732502701646,0,2,0.693147180559945,3001,8.00670084544037,111,4.70953020131233
"Bokaa_Ramokgonami","Bokaa","Ramokgonami",284606,10892,284.606,3.02555555555556,"Control","Control",0,73,220,"Kgatleng","Central Mahalapye",6406,3225,3181,4557,2137,2420,0,5.65110576765419,1,54,19,52,19,2,0,153,67,58,21,95,46,0,2194,7.69348164083518,0,92,4.52178857704904,6525,8.78339623219089,4289,8.36380888451688
"Bokaa_Ranaka","Bokaa","Ranaka",109682,5353,109.682,1.48694444444444,"Control","Control",0,73,34,"Kgatleng","Southern",6406,3225,3181,3263,1635,1628,0,4.69758526995287,1,54,19,52,19,2,0,21,13,20,13,1,0,0,1056,6.96224346426621,0,0,0,1101,7.00397413672268,19,2.94443897916644
"Bokaa_Sebina","Bokaa","Sebina",465213,18703,465.213,5.19527777777778,"Control","Control",0,73,51,"Kgatleng","Central Tutume",6406,3225,3181,3670,1686,1984,0,6.14249536522396,1,54,19,52,19,2,0,39,12,35,10,4,2,0,1185,7.07749805356923,0,4,1.38629436111989,1389,7.23633934275434,184,5.21493575760899
"Bokaa_Sefhare","Bokaa","Sefhare",266678,11135,266.678,3.09305555555556,"Control","Intervention",0,73,24,"Kgatleng","Central Mahalapye",6406,3225,3181,5266,2425,2841,0,5.58604193809672,1,54,19,52,19,2,0,15,9,12,9,3,0,0,696,6.54534966033442,0,0,0,771,6.64768837356333,57,4.04305126783455
"Bokaa_Sefophe","Bokaa","Sefophe",360006,14189,360.006,3.94138888888889,"Control","Control",0,73,121,"Kgatleng","Central Bobonong",6406,3225,3181,7021,3309,3712,0,5.88612069797794,1,54,19,52,19,2,0,88,33,85,30,3,3,0,3175,8.06306291132679,0,6,1.79175946922805,3454,8.14728825870662,219,5.3890717298165
"Bokaa_Shakawe","Bokaa","Shakawe",1131097,43548,1131.097,12.0966666666667,"Control","Control",0,73,313,"Kgatleng","Ngamiland West",6406,3225,3181,7369,3547,3822,0,7.03094323724843,1,54,19,52,19,2,0,225,88,85,29,140,59,0,3123,8.04654935728308,0,118,4.77068462446567,9027,9.10797536529815,5846,8.67351294567119
"Bokaa_Shoshong","Bokaa","Shoshong",210987,8355,210.987,2.32083333333333,"Control","Intervention",0,73,43,"Kgatleng","Central Mahalapye",6406,3225,3181,11864,5787,6077,0,5.3517965202036,1,54,19,52,19,2,0,37,6,35,5,2,1,0,925,6.82979373751242,0,2,0.693147180559945,1027,6.93439720992856,92,4.52178857704904
"Bokaa_Tati_siding","Bokaa","Tati_siding",396166,15256,396.166,4.23777777777778,"Control","Intervention",0,73,277,"Kgatleng","North East",6406,3225,3181,8113,3817,4296,0,5.98183331533729,1,54,19,52,19,2,0,197,80,125,48,72,32,0,4871,8.49105453380654,0,64,4.15888308335967,8063,8.99504097468502,3096,8.03786623470962
"Bokaa_Tsetsebjwe","Bokaa","Tsetsebjwe",412165,16535,412.165,4.59305555555556,"Control","Control",0,73,99,"Kgatleng","Central Bobonong",6406,3225,3181,4815,2248,2567,0,6.02142375461353,1,54,19,52,19,2,0,68,31,64,29,4,2,0,2724,7.9098566672694,0,4,1.38629436111989,2966,7.99496952269788,184,5.21493575760899
"Digawana_Bokaa","Digawana","Bokaa",27690,1761,27.69,0.489166666666667,"Intervention","Control",0,28,73,"Barolong","Kgatleng",3273,1571,1702,6406,3225,3181,0,3.32107133718287,0,17,11,17,11,0,0,54,19,52,19,2,0,0,895,6.79682371827486,0,0,0,917,6.82110747225646,22,3.09104245335832
"Digawana_Gumare","Digawana","Gumare",992649,37120,992.649,10.3111111111111,"Intervention","Intervention",0,28,260,"Barolong","Ngamiland West",3273,1571,1702,8913,4205,4708,0,6.90037712723816,0,17,11,17,11,0,0,192,68,110,36,82,32,0,1822,7.5076900778199,0,0,0,3268,8.09193345597989,1446,7.27655640271871
"Digawana_Gweta","Digawana","Gweta",717716,28546,717.716,7.92944444444444,"Intervention","Intervention",0,28,131,"Barolong","Central Tutume",3273,1571,1702,7148,3546,3602,0,6.5760739476249,0,17,11,17,11,0,0,98,33,92,32,6,1,0,1556,7.34987370473834,0,0,0,1639,7.40184157874383,83,4.4188406077966
"Digawana_Lentsweletau","Digawana","Lentsweletau",59638,3309,59.638,0.919166666666667,"Intervention","Intervention",0,28,206,"Barolong","Kweneng East",3273,1571,1702,7420,3815,3605,0,4.08829295479367,0,17,11,17,11,0,0,128,78,52,20,76,58,0,912,6.81563999007433,0,0,0,2734,7.91352101728389,1822,7.5076900778199
"Digawana_Lerala","Digawana","Lerala",337980,13296,337.98,3.69333333333333,"Intervention","Intervention",0,28,347,"Barolong","Serowe Palapye",3273,1571,1702,7413,3474,3939,0,5.82298672213468,0,17,11,17,11,0,0,244,103,75,30,169,73,0,1335,7.19668657083435,0,0,0,4435,8.39728289474368,3100,8.03915739047324
"Digawana_Letlhakeng","Digawana","Letlhakeng",121948,6324,121.948,1.75666666666667,"Intervention","Control",0,28,92,"Barolong","Kweneng West",3273,1571,1702,9809,4846,4963,0,4.80359472436344,0,17,11,17,11,0,0,68,24,59,24,9,0,0,1057,6.96318998587024,0,0,0,1156,7.05272104923232,99,4.59511985013459
"Digawana_Masunga","Digawana","Masunga",512156,21464,512.156,5.96222222222222,"Intervention","Intervention",0,28,182,"Barolong","North East",3273,1571,1702,5615,2522,3093,0,6.2386292661317,0,17,11,17,11,0,0,131,51,110,44,21,7,0,1958,7.57967882309046,0,0,0,2308,7.74413662762799,350,5.85793315448346
"Digawana_Mathangwane","Digawana","Mathangwane",458668,18565,458.668,5.15694444444444,"Intervention","Intervention",0,28,102,"Barolong","Central Tutume",3273,1571,1702,5947,2873,3074,0,6.1283266367977,0,17,11,17,11,0,0,79,23,50,12,29,11,0,754,6.62539236800796,0,0,0,1260,7.13886699994552,506,6.22653666928747
"Digawana_Maunatlala","Digawana","Maunatlala",354026,14494,354.026,4.02611111111111,"Intervention","Intervention",0,28,236,"Barolong","Serowe Palapye",3273,1571,1702,4921,2509,2412,0,5.86937035676441,0,17,11,17,11,0,0,155,81,58,27,97,54,0,1097,7.00033446027523,0,0,0,3082,8.03333401588006,1985,7.59337419312129
"Digawana_Metsimotlhabe","Digawana","Metsimotlhabe",21057,1819,21.057,0.505277777777778,"Intervention","Control",0,28,34,"Barolong","Kweneng East",3273,1571,1702,9154,4329,4825,0,3.04723304641639,0,17,11,17,11,0,0,25,9,24,9,1,0,0,417,6.0330862217988,0,0,0,428,6.0591231955818,11,2.39789527279837
"Digawana_Mmadinare","Digawana","Mmadinare",403752,15803,403.752,4.38972222222222,"Intervention","Control",0,28,112,"Barolong","Central Bobonong",3273,1571,1702,15064,7261,7803,0,6.00080082808497,0,17,11,17,11,0,0,84,28,80,24,4,4,0,1288,7.1608459066643,0,0,0,1400,7.24422751560335,112,4.71849887129509
"Digawana_Mmandunyane","Digawana","Mmandunyane",424326,18059,424.326,5.01638888888889,"Intervention","Control",0,28,56,"Barolong","Central Tutume",3273,1571,1702,4254,2099,2155,0,6.05050202772896,0,17,11,17,11,0,0,42,14,38,14,4,0,0,656,6.48616078894409,0,0,0,700,6.5510803350434,44,3.78418963391826
"Digawana_Mmankgodi","Digawana","Mmankgodi",46767,3230,46.767,0.897222222222222,"Intervention","Intervention",0,28,166,"Barolong","Kweneng East",3273,1571,1702,7406,3493,3913,0,3.84517782599865,0,17,11,17,11,0,0,114,52,55,32,59,20,0,1149,7.04664727784876,0,0,0,2138,7.66762609158499,989,6.89669433162271
"Digawana_Mmathethe","Digawana","Mmathethe",126417,6705,126.417,1.8625,"Intervention","Control",0,28,135,"Barolong","Barolong",3273,1571,1702,6893,3412,3481,0,4.83958596634018,0,17,11,17,11,0,0,99,36,63,28,36,8,0,1169,7.06390396147207,0,0,0,1701,7.43897159239586,532,6.27664348934164
"Digawana_Molapowabojang","Digawana","Molapowabojang",93247,5343,93.247,1.48416666666667,"Intervention","Control",0,28,60,"Barolong","Southern",3273,1571,1702,9402,4503,4899,0,4.53525188642464,0,17,11,17,11,0,0,45,15,40,14,5,1,0,678,6.5191472879404,0,0,0,750,6.62007320653036,72,4.27666611901606
"Digawana_Nata","Digawana","Nata",617591,24877,617.591,6.91027777777778,"Intervention","Control",0,28,59,"Barolong","Central Tutume",3273,1571,1702,7694,3770,3924,0,6.42582642606553,0,17,11,17,11,0,0,48,11,39,9,9,2,0,582,6.36647044773144,0,0,0,715,6.57228254269401,133,4.89034912822175
"Digawana_Nkange","Digawana","Nkange",13928,1324,13.928,0.367777777777778,"Intervention","Intervention",0,28,107,"Barolong","Central Tutume",3273,1571,1702,3660,1599,2061,0,2.63390120246589,0,17,11,17,11,0,0,80,27,76,25,4,2,0,1261,7.13966033596492,0,0,0,1339,7.19967834569117,78,4.35670882668959
"Digawana_Oodi","Digawana","Oodi",7876,790,7.876,0.219444444444444,"Intervention","Intervention",0,28,73,"Barolong","Kgatleng",3273,1571,1702,5822,2798,3024,0,2.06382016077688,0,17,11,17,11,0,0,51,22,47,21,4,1,0,874,6.77308037565554,0,0,0,935,6.84054652928869,61,4.11087386417331
"Digawana_Otse","Digawana","Otse",55495,3231,55.495,0.8975,"Intervention","Intervention",0,28,99,"Barolong","South East",3273,1571,1702,8039,3903,4136,0,4.01629292660394,0,17,11,17,11,0,0,67,32,64,31,3,1,0,1231,7.11558212618445,0,0,0,1281,7.15539630189673,50,3.91202300542815
"Digawana_Ramokgonami","Digawana","Ramokgonami",306904,12091,306.904,3.35861111111111,"Intervention","Control",0,28,220,"Barolong","Central Mahalapye",3273,1571,1702,4557,2137,2420,0,5.72653499510217,0,17,11,17,11,0,0,153,67,58,21,95,46,0,995,6.90274273715859,0,0,0,2822,7.94520113241276,1827,7.51043055637801
"Digawana_Ranaka","Digawana","Ranaka",84624,4402,84.624,1.22277777777778,"Intervention","Control",0,28,34,"Barolong","Southern",3273,1571,1702,3263,1635,1628,0,4.43821791432362,0,17,11,17,11,0,0,21,13,20,13,1,0,0,441,6.08904487544685,0,0,0,452,6.11368217983223,11,2.39789527279837
"Digawana_Sebina","Digawana","Sebina",487511,19903,487.511,5.52861111111111,"Intervention","Control",0,28,51,"Barolong","Central Tutume",3273,1571,1702,3670,1686,1984,0,6.1893128542859,0,17,11,17,11,0,0,39,12,35,10,4,2,0,555,6.31896811374643,0,0,0,633,6.45047042214418,78,4.35670882668959
"Digawana_Sefhare","Digawana","Sefhare",288976,12334,288.976,3.42611111111111,"Intervention","Intervention",0,28,24,"Barolong","Central Mahalapye",3273,1571,1702,5266,2425,2841,0,5.66634363968131,0,17,11,17,11,0,0,15,9,12,9,3,0,0,285,5.65248918026865,0,0,0,318,5.76205138278018,33,3.49650756146648
"Digawana_Sefophe","Digawana","Sefophe",382304,15389,382.304,4.27472222222222,"Intervention","Control",0,28,121,"Barolong","Central Bobonong",3273,1571,1702,7021,3309,3712,0,5.94621610363481,0,17,11,17,11,0,0,88,33,85,30,3,3,0,1445,7.27586460054653,0,0,0,1529,7.33236920592906,84,4.43081679884331
"Digawana_Shakawe","Digawana","Shakawe",1125681,43225,1125.681,12.0069444444444,"Intervention","Control",0,28,313,"Barolong","Ngamiland West",3273,1571,1702,7369,3547,3822,0,7.02614346483154,0,17,11,17,11,0,0,225,88,85,29,140,59,0,1428,7.26403014289953,0,0,0,3971,8.28677323113125,2543,7.84109976542212
"Digawana_Shoshong","Digawana","Shoshong",233285,9554,233.285,2.65388888888889,"Intervention","Intervention",0,28,43,"Barolong","Central Mahalapye",3273,1571,1702,11864,5787,6077,0,5.45226088206111,0,17,11,17,11,0,0,37,6,35,5,2,1,0,470,6.1527326947041,0,0,0,509,6.23244801655052,39,3.66356164612965
"Digawana_Tati_siding","Digawana","Tati_siding",418464,16455,418.464,4.57083333333333,"Intervention","Intervention",0,28,277,"Barolong","North East",3273,1571,1702,8113,3817,4296,0,6.03659086472409,0,17,11,17,11,0,0,197,80,125,48,72,32,0,2191,7.69211333959547,0,0,0,3527,8.16820293023605,1336,7.19743535409659
"Digawana_Tsetsebjwe","Digawana","Tsetsebjwe",434463,17734,434.463,4.92611111111111,"Intervention","Control",0,28,99,"Barolong","Central Bobonong",3273,1571,1702,4815,2248,2567,0,6.07411078572855,0,17,11,17,11,0,0,68,31,64,29,4,2,0,1197,7.08757370555797,0,0,0,1275,7.15070145759253,78,4.35670882668959
"Gumare_Bokaa","Gumare","Bokaa",997916,37503,997.916,10.4175,"Intervention","Control",0,260,73,"Ngamiland West","Kgatleng",8913,4205,4708,6406,3225,3181,0,6.90566910443244,0,192,68,110,36,82,32,54,19,52,19,2,0,0,3962,8.2845042272585,0,64,4.15888308335967,7320,8.89836560695536,136,4.91265488573605
"Gumare_Digawana","Gumare","Digawana",993035,37060,993.035,10.2944444444444,"Intervention","Intervention",0,260,28,"Ngamiland West","Barolong",8913,4205,4708,3273,1571,1702,0,6.90076591015111,0,192,68,110,36,82,32,17,11,17,11,0,0,0,1822,7.5076900778199,0,0,0,3268,8.09193345597989,0,0
"Gumare_Gweta","Gumare","Gweta",447808,17469,447.808,4.8525,"Intervention","Intervention",0,260,131,"Ngamiland West","Central Tutume",8913,4205,4708,7148,3546,3602,0,6.10436456912343,0,192,68,110,36,82,32,98,33,92,32,6,1,0,6832,8.82937273546841,0,274,5.61312810638807,13000,9.47270463644367,600,6.39692965521615
"Gumare_Lentsweletau","Gumare","Lentsweletau",975236,36854,975.236,10.2372222222222,"Intervention","Intervention",0,260,206,"Ngamiland West","Kweneng East",8913,4205,4708,7420,3815,3605,0,6.88267949299021,0,192,68,110,36,82,32,128,78,52,20,76,58,0,4072,8.31188955823036,0,7188,8.88016824790345,23680,10.0723860889979,16304,9.69916575546251
"Gumare_Lerala","Gumare","Lerala",916191,34908,916.191,9.69666666666667,"Intervention","Intervention",0,260,347,"Ngamiland West","Serowe Palapye",8913,4205,4708,7413,3474,3939,0,6.82022485822168,0,192,68,110,36,82,32,244,103,75,30,169,73,0,6000,8.69951474821019,0,11394,9.34084218004034,36368,10.5014445460923,25508,10.1467474074352
"Gumare_Letlhakeng","Gumare","Letlhakeng",871112,30720,871.112,8.53333333333333,"Intervention","Control",0,260,92,"Ngamiland West","Kweneng West",8913,4205,4708,9809,4846,4963,0,6.76977055641588,0,192,68,110,36,82,32,68,24,59,24,9,0,0,4764,8.46884293047519,0,288,5.66296048013595,9232,9.13043098874788,612,6.41673228251233
"Gumare_Masunga","Gumare","Masunga",737188,28886,737.188,8.02388888888889,"Intervention","Intervention",0,260,182,"Ngamiland West","North East",8913,4205,4708,5615,2522,3093,0,6.60284294785526,0,192,68,110,36,82,32,131,51,110,44,21,7,0,8800,9.0825070004663,0,1246,7.1276936993474,18700,9.83627880284268,2772,7.92732436030979
"Gumare_Mathangwane","Gumare","Mathangwane",702849,27082,702.849,7.52277777777778,"Intervention","Intervention",0,260,102,"Ngamiland West","Central Tutume",8913,4205,4708,5947,2873,3074,0,6.55514207499808,0,192,68,110,36,82,32,79,23,50,12,29,11,0,3120,8.04558828080353,0,1830,7.51207124583547,9788,9.18891242456256,4084,8.31483217928456
"Gumare_Maunatlala","Gumare","Maunatlala",912836,35063,912.836,9.73972222222222,"Intervention","Intervention",0,260,236,"Ngamiland West","Serowe Palapye",8913,4205,4708,4921,2509,2412,0,6.81655623685868,0,192,68,110,36,82,32,155,81,58,27,97,54,0,5058,8.52872642722991,0,7532,8.92691588977704,26092,10.169384032916,16964,9.73884873059448
"Gumare_Metsimotlhabe","Gumare","Metsimotlhabe",972769,35534,972.769,9.87055555555555,"Intervention","Control",0,260,34,"Ngamiland West","Kweneng East",8913,4205,4708,9154,4329,4825,0,6.88014664392783,0,192,68,110,36,82,32,25,9,24,9,1,0,0,1854,7.5251007461258,0,32,3.46573590279973,3428,8.13973227971767,68,4.21950770517611
"Gumare_Mmadinare","Gumare","Mmadinare",879981,34344,879.981,9.54,"Intervention","Control",0,260,112,"Ngamiland West","Central Bobonong",8913,4205,4708,15064,7261,7803,0,6.77990031633007,0,192,68,110,36,82,32,84,28,80,24,4,4,0,5520,8.61613313927114,0,456,6.12249280951439,11088,9.31361872142968,1040,6.94697599213542
"Gumare_Mmandunyane","Gumare","Mmandunyane",760855,31320,760.855,8.7,"Intervention","Control",0,260,56,"Ngamiland West","Central Tutume",8913,4205,4708,4254,2099,2155,0,6.63444280094209,0,192,68,110,36,82,32,42,14,38,14,4,0,0,2908,7.97522083865341,0,128,4.85203026391962,5544,8.62047154086974,272,5.605802066296
"Gumare_Mmankgodi","Gumare","Mmankgodi",971376,35251,971.376,9.79194444444444,"Intervention","Intervention",0,260,166,"Ngamiland West","Kweneng East",8913,4205,4708,7406,3493,3913,0,6.87871362299741,0,192,68,110,36,82,32,114,52,55,32,59,20,0,5500,8.61250337122056,0,3528,8.16848641712668,17736,9.78335175129615,7852,8.96852355539635
"Gumare_Mmathethe","Gumare","Mmathethe",962574,35235,962.574,9.7875,"Intervention","Control",0,260,135,"Ngamiland West","Barolong",8913,4205,4708,6893,3412,3481,0,6.86961094632347,0,192,68,110,36,82,32,99,36,63,28,36,8,0,5348,8.58447793822183,0,1808,7.49997654095212,13644,9.52105514353854,3984,8.29004161870449
"Gumare_Molapowabojang","Gumare","Molapowabojang",965355,35037,965.355,9.7325,"Intervention","Control",0,260,60,"Ngamiland West","Southern",8913,4205,4708,9402,4503,4899,0,6.872495909337,0,192,68,110,36,82,32,45,15,40,14,5,1,0,2980,7.99967857949945,0,242,5.48893772615669,5940,8.68946441235669,532,6.27664348934164
"Gumare_Nata","Gumare","Nata",542910,20613,542.91,5.72583333333333,"Intervention","Control",0,260,59,"Ngamiland West","Central Tutume",8913,4205,4708,7694,3770,3924,0,6.29694356034022,0,192,68,110,36,82,32,48,11,39,9,9,2,0,2394,7.78072088611792,0,452,6.11368217983223,5376,8.58969988220299,996,6.9037472575846
"Gumare_Nkange","Gumare","Nkange",996437,36697,996.437,10.1936111111111,"Intervention","Intervention",0,260,107,"Ngamiland West","Central Tutume",8913,4205,4708,3660,1599,2061,0,6.90418591637984,0,192,68,110,36,82,32,80,27,76,25,4,2,0,5486,8.60995467149755,0,292,5.67675380226828,10624,9.27087087171621,656,6.48616078894409
"Gumare_Oodi","Gumare","Oodi",991938,36959,991.938,10.2663888888889,"Intervention","Intervention",0,260,73,"Ngamiland West","Kgatleng",8913,4205,4708,5822,2798,3024,0,6.89966060533167,0,192,68,110,36,82,32,51,22,47,21,4,1,0,4002,8.29454951514368,0,210,5.34710753071747,7692,8.94793610670867,464,6.13988455222626
"Gumare_Otse","Gumare","Otse",973498,35291,973.498,9.80305555555556,"Intervention","Intervention",0,260,99,"Ngamiland West","South East",8913,4205,4708,8039,3903,4136,0,6.88089577036741,0,192,68,110,36,82,32,67,32,64,31,3,1,0,5714,8.65067458279072,0,178,5.18178355029209,10700,9.27799902045,396,5.98141421125448
"Gumare_Ramokgonami","Gumare","Ramokgonami",885114,33703,885.114,9.36194444444445,"Intervention","Control",0,260,220,"Ngamiland West","Central Mahalapye",8913,4205,4708,4557,2137,2420,0,6.7857164502715,0,192,68,110,36,82,32,153,67,58,21,95,46,0,4398,8.38890517111471,0,6812,8.82644104178258,23268,10.0548343050307,15292,9.6350850948163
"Gumare_Ranaka","Gumare","Ranaka",934342,33533,934.342,9.31472222222222,"Intervention","Control",0,260,34,"Ngamiland West","Southern",8913,4205,4708,3263,1635,1628,0,6.83984253822961,0,192,68,110,36,82,32,21,13,20,13,1,0,0,2150,7.67322312112171,0,32,3.46573590279973,3924,8.27486682068525,68,4.21950770517611
"Gumare_Sebina","Gumare","Sebina",689626,26591,689.626,7.38638888888889,"Intervention","Control",0,260,51,"Ngamiland West","Central Tutume",8913,4205,4708,3670,1686,1984,0,6.53614942165498,0,192,68,110,36,82,32,39,12,35,10,4,2,0,2360,7.76641689801966,0,292,5.67675380226828,4956,8.50835424274903,656,6.48616078894409
